students,no_of_tapping_quiz_1,no_of_tapping_quiz_2,no_of_attempts_quiz_1,no_of_attempts_quiz_2,task_comp_time_quiz_1_sec,task_comp_time_quiz_2_sec,score_quiz_1,score_quiz_2,no_of_times_asking_help_quiz_1,no_of_times_asking_help_quiz_2,overall_satisfaction,easy_to_use,easy_to_learn,future_use,recommend_to_others,tapping_registration,tapping_login,tapping_payment,tapping_manual_reading,tapping_panduan,tapping_alasan,tapping_pola_warna,tapping_pola_merah,tapping_pola_hijau,tapping_quiz_login,attempts_registration,attempts_login,attempts_payment,attempts_manual_reading,attempts_panduan,attempts_alasan,attempts_pola_warna,attempts_pola_merah,attempts_pola_hijau,attempts_quiz_login,comp_times_registration,comp_times_login,comp_times_payment,comp_times_manual_reading,comp_times_panduan,comp_times_alasan,comp_times_pola_warna,comp_times_pola_merah,comp_times_pola_hijau,comp_times_quiz_login,help_registration,help_login,help_payment,help_manual_reading,help_panduan,help_alasan,help_pola_warna,help_pola_merah,help_pola_hijau,help_quiz_login
11,20,20,1,1,120.01,179.92,5,6,2,1,2,4,4,4,5,8,5,5,1,1,1,3,22,11,1,1,1,1,1,1,1,1,2,1,1,45.6,93,30,49.2,9.6,1.8,68,80,43,19.8,4,2,5,1,0,0,0,0,0,0
12,20,20,1,1,180.24,300.18,10,9,1,0,3,5,5,4,5,7,4,9,2,3,3,3,22,11,3,1,1,1,1,1,1,1,2,1,1,49.2,21,61.8,7.8,16.8,15,68,80,43,19.8,0,0,2,0,0,0,0,0,0,0
13,20,20,3,2,120.41,299.9,17,12,0,0,4,3,4,4,4,44,18,37,3,10,4,3,88,27,16,1,1,1,1,1,2,1,11,3,1,45,16.8,54,49.2,28.8,6,61.2,264,58.2,16.8,0,0,0,0,0,0,0,0,0,0
14,20,20,1,1,180.19,180.14,12,11,0,0,4,3,3,4,4,48,10,12,3,4,3,3,43,27,10,2,1,1,1,2,1,1,1,2,1,55.2,16.2,148,49.2,12,7.2,61.2,118.8,43.2,16.2,0,0,0,0,0,0,0,0,0,0
15,20,20,1,1,60.53,240.35,12,16,0,0,4,4,4,4,4,36,21,12,3,5,7,3,119,45,21,1,1,1,1,1,1,1,1,1,1,24,25.2,148,49.2,19.8,22.8,61.2,163.2,49.2,25.2,0,0,0,0,0,0,0,0,0,0
16,20,20,4,1,179.72,179.96,14,13,0,0,4,3,4,4,4,11,7,12,3,9,6,3,83,45,7,1,1,1,1,1,1,1,1,1,1,156,12,148,49.2,10.2,9,61.2,127.8,84,12,0,0,0,0,0,0,0,0,0,0
17,20,20,2,1,120.36,240.54,16,15,0,0,4,5,5,4,4,11,32,12,9,7,3,3,36,18,32,1,1,1,1,3,5,1,7,4,1,156,22.2,148,49.2,16.2,28.2,61.2,145.2,57,22.2,0,0,0,0,0,0,0,0,0,0
18,20,20,1,1,360.07,359.65,15,9,1,1,4,4,4,4,4,4,2,5,1,3,3,1,3,5,8,1,1,1,1,1,1,1,1,1,1,60,30,135,60,30,30,380,270,110,37.8,1,0,1,0,0,0,2,1,1,0
19,20,20,1,1,419.96,300.21,9,10,1,1,4,4,3,4,4,3,2,6,1,3,3,1,3,5,5,1,1,1,1,1,1,1,2,2,2,79.99999998,40.00000002,70.00000002,60,34.99999998,30,380,240,140,70.00000002,1,0,1,0,0,0,2,1,1,1
20,20,20,1,1,60.32,231,15,9,0,0,3,5,4,1,3,1,7,12,3,3,3,3,22,11,8,1,1,1,1,1,1,1,2,1,1,156,21,126,49.2,30,16.8,61.2,70.8,38.4,37.8,0,0,0,0,0,0,0,0,0,0
21,20,20,1,1,60.43,60.45,2,2,0,0,4,3,4,4,3,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,3,85.99999998,60,60,1.00000002,1.00000002,1.00000002,1.00000002,1.00000002,1.00000002,4.99999998,1,0,0,0,0,0,0,0,0,0
22,20,20,1,1,120.29,299.86,8,8,0,0,2,4,2,2,2,5,4,10,2,2,3,2,13,3,8,1,1,1,1,1,1,1,1,1,1,19.8,10.8,92.4,4.2,1.8,1.8,3,60,6.6,41,0,0,1,0,0,0,0,0,0,0
23,20,20,1,1,60.31,179.63,12,8,0,0,3,3,4,3,3,12,4,23,9,4,3,6,22,4,8,1,1,2,1,1,1,1,1,1,1,60,9,64.8,9,3.6,2.4,4.2,80,2.4,41,1,0,0,0,0,0,0,0,0,0
24,20,20,1,1,59.95,179.58,10,10,0,0,3,3,2,1,2,6,3,9,2,3,3,2,4,3,8,2,1,1,1,1,1,1,1,1,1,21.6,9,75.6,9,2.4,3,67.2,21.6,15.6,41,1,0,1,0,0,0,0,0,0,0
25,20,20,1,1,120.04,240.27,7,11,0,1,5,5,5,5,5,1,1,2,1,1,1,1,3,2,1,2,1,2,1,1,1,1,1,1,2,4.16666664,1.24999998,1.66666668,49.2,1.24999998,1.24999998,61.2,3.54166668,2.91666666,1.16666664,2,0,1,0,0,0,0,0,0,1
26,20,20,1,1,300.05,419.96,11,8,0,1,5,5,5,5,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.91666666,1.54166664,2.79166668,49.2,1.29166668,1.16666664,61.2,1.125,1.00000002,0.62500002,0,0,1,0,0,0,0,0,0,1
27,20,20,1,1,180.39,359.87,13,13,0,0,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.29166664,1.75000002,3.83333334,49.2,0.83333334,1.5,61.2,12.08333334,15.375,37.8,1,0,1,0,0,0,0,0,0,0
28,20,20,1,1,179.71,231,10,9,2,0,4,1,4,2,2,4,7,1,1,6,2,2,34,33,1,1,1,1,1,2,1,2,2,1,1,20.4,6,7.2,18,18,16.8,1.8,24.6,24,3,4,0,1,1,1,1,1,0,0,0
29,8,20,1,1,60.02,231,0,9,1,0,4,1,4,2,5,11,7,12,1,4,3,2,2,3,8,1,1,1,1,1,1,1,2,1,1,150,93.6,126,18,6,12,18,9,9,37.8,2,1,1,1,1,0,0,0,0,2
30,20,20,1,1,119.99,120,3,9,1,0,4,1,3,2,2,4,7,1,1,4,2,1,36,1,1,1,1,1,1,1,1,1,1,1,1,61.8,18,126,33,15,18,69,25.2,19.8,12,2,0,1,1,1,0,0,0,0,1
31,20,20,1,1,120.36,152.4,7,9,1,0,4,1,4,2,2,3,6,12,3,3,3,1,22,11,1,1,2,1,1,1,1,1,2,1,1,78,21.6,126,20.4,14.4,13.8,67.2,18,16.8,13.2,0,1,0,1,0,0,1,0,0,2
32,20,20,1,1,179.51,299.91,7,3,1,1,5,4,4,4,4,2,1,12,3,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,85.99999998,16.99999998,126,49.2,6,7.00000002,61.2,10.99999998,7.99999998,13.00000002,1,1,1,0,1,1,0,1,1,1
33,20,20,1,1,119.66,239.89,18,15,0,0,5,4,4,4,4,1,1,12,3,1,1,3,22,11,1,1,1,1,1,1,1,1,2,1,1,28.00000002,19.99999998,126,49.2,4.99999998,4.00000002,61.2,70.8,38.4,12,0,0,1,0,1,0,0,0,0,0
34,20,20,1,1,120.02,240.03,11,9,0,0,4,5,5,5,4,1,1,12,3,1,1,3,22,11,1,1,1,1,1,1,1,1,2,1,1,42,25.00000002,126,49.2,6,3,61.2,70.8,38.4,21,1,1,1,0,0,0,0,0,0,0
35,20,20,1,1,120.04,231,19,9,0,0,4,4,4,4,4,19,7,12,3,2,2,3,5,2,8,2,1,1,1,1,1,1,1,1,1,65.4,93,1260,2.4,1.8,3,3.6,30.6,3.6,41,0,0,1,0,0,0,0,0,0,0
36,20,20,1,1,120.03,300.02,15,15,1,1,4,4,4,4,4,2,2,12,6,2,2,6,4,2,8,1,1,1,1,1,1,1,1,1,1,12,600,126,18,9,9,18,9,9,426,1,1,1,1,1,1,1,1,1,1
37,20,20,1,1,120.15,180.44,9,2,1,1,4,4,4,4,4,2,2,12,6,2,2,6,4,2,8,1,1,1,1,1,1,1,1,1,1,2.50000002,0.83333334,126,1.24999998,0.62500002,0.62500002,10.00000002,4.99999998,4.99999998,37.8,1,1,1,1,1,1,1,1,1,1
38,20,20,1,1,120.16,239.87,10,13,2,2,4,4,4,4,4,11,3,9,7,3,3,10,3,7,8,1,1,1,1,1,1,1,1,1,1,150,14.4,70.00000002,43.00000002,18,22.00000002,180.02,42,340,375,2,1,4,1,1,1,0,0,0,0
39,20,20,1,1,239.68,359.83,9,3,2,2,3,5,2,5,5,47,15,34,3,3,3,3,10,4,14,1,1,1,1,1,1,1,1,1,1,70.02,19.2,48,49.2,60,60,61.2,255,69.6,26.4,2,0,1,0,1,1,0,0,0,0
40,12,20,1,1,60.13,231,8,9,0,0,2,2,4,2,2,36,12,33,3,7,4,3,22,11,12,1,1,1,1,2,1,1,2,1,1,34.98,6,52.02,49.2,19.8,7.98,61.2,70.8,38.4,7.2,0,0,0,0,0,0,0,0,0,0
41,20,20,1,1,119.99,419.98,19,11,0,0,3,3,2,3,3,55,27,56,3,3,3,3,9,3,27,1,1,1,1,1,1,1,1,1,1,66,16.8,58.8,49.2,40.2,49.8,61.2,243,49.8,16.8,0,0,2,0,0,0,0,0,0,0
42,20,20,1,1,119.93,360.42,18,8,0,0,3,3,4,3,3,53,30,54,3,4,5,3,10,7,30,1,1,1,1,1,1,1,1,1,1,66,18,60,49.2,42,48,61.2,240,102,12,0,0,2,0,0,0,0,0,0,0
43,20,20,1,1,120.14,240.13,15,5,0,0,5,3,3,4,5,1,1,1,2,1,1,3,22,11,2,1,1,1,2,1,1,1,2,1,2,60,25.00000002,60,45,19.99999998,25.00000002,61.2,70.8,38.4,150,0,0,0,0,0,0,0,0,0,0
44,20,20,1,1,180.13,231,5,9,0,0,4,3,5,4,4,1,7,12,1,3,3,3,22,11,8,1,1,1,1,1,1,1,2,1,1,25.99999998,93.6,126,3,15,10.00000002,61.2,70.8,38.4,37.8,0,0,0,0,0,0,0,0,0,0
45,20,20,1,1,179.83,120.01,8,4,0,0,4,5,3,5,5,1,1,1,1,1,3,3,22,11,3,1,1,1,1,1,1,1,2,1,1,150,4.99999998,126,49.2,13.99999998,16.8,61.2,70.8,38.4,55.99999998,0,0,0,0,0,0,0,0,0,0
46,20,20,1,1,119.87,120.26,12,14,0,0,4,5,5,5,5,7,3,12,4,3,3,3,22,11,3,1,1,1,2,1,1,1,2,1,1,31.02,16.02,148,15,18.78,18.78,61.2,70.8,38.4,10.02,0,0,0,0,0,0,0,0,0,0
47,20,20,1,1,60.01,60.51,12,9,0,0,4,5,5,5,5,1,3,12,2,3,3,3,22,11,3,1,1,1,1,1,1,1,2,1,1,156,15,126,42,21,16.02,61.2,70.8,38.4,15,0,0,0,0,0,0,0,0,0,0
48,20,20,2,1,60.17,299.88,13,6,0,0,4,5,5,5,5,10,3,12,4,4,4,3,22,11,3,2,1,1,1,1,1,1,2,1,1,46.98,16.98,1.02,19.98,4.98,7.02,61.2,70.8,38.4,18,0,0,1,0,0,0,0,0,0,0
49,20,20,1,1,60.04,120.15,16,14,0,0,4,5,5,5,5,6,3,10,2,3,3,3,22,11,3,1,1,1,1,1,1,1,2,1,1,27,18,55.98,31.98,13.98,13.02,61.2,70.8,38.4,15,0,0,0,0,0,0,0,0,0,0
50,20,20,1,1,59.95,231,1,9,0,0,3,3,3,4,4,24,7,12,3,3,3,3,22,11,8,2,1,1,2,1,1,1,2,1,1,145.98,145.98,126,64.2,34.2,30,61.2,70.8,38.4,37.8,2,2,1,0,0,0,0,0,0,0
51,20,20,1,1,134,231,10,9,0,0,5,5,5,4,4,28,20,12,3,3,3,3,22,11,8,2,1,1,1,1,1,1,3,2,1,90,90,126,49.2,30,16.8,61.2,90,48,37.8,2,2,1,0,0,0,0,0,0,0
52,20,20,1,1,120.21,231,5,9,0,0,5,4,4,4,4,44,7,12,3,3,3,3,22,11,8,2,1,1,1,1,1,1,2,1,1,120,120,126,49.2,30,30,61.2,70.8,38.4,37.8,2,2,1,0,0,0,0,0,0,0
53,20,20,1,1,120,60.05,3,1,1,1,4,4,4,4,4,1,2,2,3,1,3,3,22,11,8,1,2,1,1,1,1,1,2,1,1,3120,1680,104,49.2,114,16.8,61.2,70.8,38.4,37.8,2,1,3,0,0,0,0,0,0,0
54,20,20,1,1,60.21,231,13,9,2,3,4,4,4,4,4,1,1,1,3,1,1,3,22,11,8,1,1,1,1,1,1,1,2,1,1,1800,1680,1200,49.2,120,120,61.2,70.8,38.4,37.8,2,2,5,0,0,0,0,1,1,0
55,20,20,1,1,59.95,60.1,2,0,1,1,4,4,4,4,4,1,1,3,3,1,1,3,22,11,8,1,1,1,1,1,1,1,2,1,1,900,90,1200,840,600,16.8,61.2,70.8,38.4,37.8,2,2,3,0,0,0,0,0,0,0
56,20,20,1,1,60.19,239.95,17,12,0,0,4,4,4,3,4,10,35,18,3,3,3,3,24,29,35,1,1,1,1,1,1,1,1,1,1,42,15,75,49.2,3.6,3.6,61.2,40.8,31.8,37.8,0,0,0,0,0,0,0,0,0,0
57,20,20,1,1,240.23,359.78,10,11,0,0,4,5,4,4,5,13,20,12,3,1,1,3,54,19,8,2,2,1,1,1,1,1,1,1,1,112.2,55.2,115.8,49.2,4.8,4.8,61.2,96,48,51,0,0,2,0,0,0,0,0,0,0
58,20,20,1,2,179.97,180.2,5,6,0,0,3,3,3,2,2,20,12,9,3,3,2,3,22,8,8,1,1,1,1,1,1,1,2,2,1,55.8,19.8,94.2,49.2,15.6,15,61.2,39,22.8,37.8,0,0,1,0,0,0,0,0,0,0
59,20,20,1,1,179.79,359.66,11,8,0,0,4,4,4,4,4,5,4,12,3,2,2,3,22,11,8,3,2,1,1,2,1,1,2,1,1,12,13.2,126,24,30,18.6,61.2,70.8,38.4,37.8,1,0,1,0,0,0,0,0,0,0
60,20,20,1,1,120.35,180.45,10,11,0,0,4,4,4,4,4,5,2,12,3,1,2,3,22,11,8,2,2,1,1,2,1,1,2,1,1,66,12,126,4.2,30,3,61.2,70.8,38.4,37.8,1,0,1,0,0,0,0,0,0,0
61,20,20,1,1,60.1,119.96,9,11,0,0,4,4,4,4,4,6,2,12,3,1,1,3,22,11,5,1,2,1,1,1,1,1,2,1,1,60,17.4,126,49.2,6,8.4,61.2,70.8,38.4,16.8,1,0,1,0,0,0,0,0,0,0
